Description,Jobs_ohio,Ohio_LQ_2018,Ohio_LQ_2014,Jobs_adams,Adams_LQ_2018,Adams_LQ_2014
"Agriculture, Forestry, Fishing and Hunting","16,662",0.36,0.33,0,0,0.34
Mining,"11,859",0.48,0.45,0,0,1.4
Utilities,"28,693",0.96,0.92,139,4.12,4.87
Construction,"220,709",0.81,0.82,264,0.86,0.5
Manufacturing,"698,960",1.49,1.46,856,1.62,1.32
Wholesale Trade,"234,789",1.08,1.05,254,1.04,0.95
Retail Trade,"563,950",0.96,0.97,866,1.32,1.35
Transportation & Warehousing,"232,597",1.02,1.01,104,0.41,0.5
Information,"83,854",0.77,0.78,29,0.23,0.29
Finance and Insurance,"230,768",1.04,0.98,189,0.76,0.7
Real Estate and Rental and Leasing,"64,155",0.76,0.77,40,0.42,0.36
"Professional, Scientific, Technical","266,760",0.77,0.79,0,0,0.29
Management of Companies and Enterprises,"140,729",1.62,1.69,0,0,0
"Admin, Support, Waste","331,361",0.96,1,214,0.55,0
Educational Services,"433,320",0.93,0.92,730,1.39,1.38
Health Care and Social Services,"888,221",1.11,1.12,"1,160",1.29,1.53
"Arts, Entertainment, and Recreation","82,112",0.81,0.8,27,0.24,0.24
Accommodation and Food Services,"485,047",0.94,0.94,498,0.86,1.06
Other Services (Except Public Administration),"158,206",0.94,0.94,96,0.51,0.61
Public Administration,"213,273",0.78,0.77,377,1.22,1.16
